Name,Assists,Map,MatchTeams
crashies,7,Breeze,NRG VS FUR
starxo,7,Icebox,FNC VS KOI
Brave,7,Icebox,BBL VS KOI
MAGNUM,7,Bind,KC VS FUT
BeYN,7,Lotus,GE VS DRX
ceNder,7,Icebox,VIT VS TH
Cloud,7,Bind,FNC VS GX
valyn,7,Bind,G2 VS 100T
mindfreak,7,Bind,GEN VS PRX
yay,7,Ascent,BLD VS ZETA
MaKo,7,Bind,T1 VS DRX
Rossy,7,Lotus,T1 VS RRQ
Jremy,7,Sunset,TS VS DRX
Cloud,7,Breeze,FNC VS GX
Apoth,7,Lotus,C9 VS EG
Dep,7,Lotus,BLD VS ZETA
MaKo,7,Ascent,GE VS DRX
SUYGETSU,7,Split,TL VS NAVI
QutionerX,7,Icebox,BBL VS KOI
hoody,7,Sunset,KC VS GX
BORKUM,7,Sunset,TS VS ZETA
Less,7,Breeze,NRG VS LOUD
Ethan,7,Sunset,NRG VS LOUD
Deryeon,7,Bind,BLD VS TLN
Russ,7,Icebox,GE VS ZETA
iZu,7,Lotus,T1 VS DFM
N4RRATE,7,Icebox,KC VS M8
Karon,7,Lotus,GEN VS PRX
Foxy9,7,Split,T1 VS DRX
Shyy,6,Icebox,KRU VS FUR
hiroronn,6,Lotus,TS VS ZETA
hoody,6,Ascent,TL VS GX
SUYGETSU,6,Bind,KC VS NAVI
Karon,6,Bind,GEN VS PRX
JitBoyS,6,Lotus,GEN VS TLN
marteen,6,Bind,KC VS NAVI
moose,6,Icebox,C9 VS LEV
RieNs,6,Split,BBL VS TH
RgLMeister,6,Sunset,KRU VS MIBR
Polvi,6,Breeze,GE VS TLN
sh1n,6,Bind,KC VS NAVI
moose,6,Split,C9 VS EG
sScary,6,Lotus,BLD VS DFM
xccurate,6,Bind,T1 VS PRX
Xeppaa,6,Icebox,C9 VS LEV
Foxy9,6,Ascent,GEN VS DRX
Khalil,6,Lotus,KRU VS FUR
Laz,6,Sunset,TS VS ZETA
ban,6,Icebox,GE VS TLN
Asuna,6,Split,G2 VS 100T
sScary,6,Sunset,BLD VS ZETA
kon4n,6,Icebox,KRU VS FUR
Rossy,6,Lotus,T1 VS PRX
Lmemore,6,Lotus,BLD VS RRQ
N4RRATE,6,Breeze,KC VS FUT
keznit,6,Lotus,KRU VS FUR
leaf,6,Bind,G2 VS 100T
C0M,6,Ascent,C9 VS LEV
Keiko,6,Lotus,TL VS GX
kamo,6,Split,KOI VS TL
pAura,6,Sunset,BBL VS M8
Lakia,6,Split,GEN VS DRX
something,6,Bind,GEN VS PRX
Shyy,6,Sunset,KRU VS MIBR
Jremy,6,Icebox,TS VS ZETA
nzr,6,Icebox,KRU VS FUR
nAts,6,Icebox,TL VS FUT
nataNk,6,Sunset,BBL VS M8
Rossy,6,Breeze,T1 VS DRX
neth,6,Lotus,BLD VS DFM
icy,6,Icebox,G2 VS EG
tomaszy,6,Icebox,KC VS M8
Chronicle,6,Split,FNC VS GX
Munchkin,6,Split,GEN VS DRX
xccurate,6,Breeze,T1 VS DRX
tomaszy,6,Bind,KC VS FUT
Crws,6,Breeze,GE VS TLN
stax,6,Split,T1 VS DRX
paTiTek,6,Icebox,FNC VS TH
Asuna,6,Icebox,SEN VS 100T
blaZek1ng,6,Ascent,GE VS DRX
jzz,6,Sunset,KRU VS MIBR
Sayaplayer,6,Lotus,T1 VS RRQ
johnqt,6,Lotus,SEN VS LEV
Leo,6,Icebox,FNC VS KOI
Carpe,6,Lotus,T1 VS PRX
JitBoyS,6,Ascent,GEN VS TLN
Crws,6,Lotus,GE VS TLN
Karon,6,Lotus,GEN VS DFM
kiNgg,6,Icebox,SEN VS LEV
nataNk,6,Ascent,BBL VS M8
invy,6,Split,TS VS RRQ
blaZek1ng,6,Icebox,GE VS ZETA
