Name,Kills,Map,MatchTeams
Karon,17,Lotus,GEN VS DFM
Mazino,17,Icebox,C9 VS LEV
yuran,17,Ascent,GE VS ZETA
bang,17,Icebox,SEN VS 100T
cNed,17,Bind,KC VS FUT
ceNder,17,Breeze,VIT VS TH
Sayaplayer,17,Lotus,T1 VS DFM
sh1n,17,Split,KC VS M8
trent,17,Lotus,G2 VS EG
Enzo,17,Ascent,TL VS NAVI
ANGE1,17,Split,KC VS NAVI
Meiy,17,Lotus,T1 VS DFM
BuZz,17,Lotus,GE VS DRX
Jremy,17,Lotus,TS VS ZETA
Alfajer,17,Lotus,M8 VS FNC
ban,17,Lotus,GEN VS TLN
sheydos,17,Split,KOI VS TL
runneR,17,Sunset,VIT VS TH
Shao,17,Lotus,VIT VS NAVI
Elite,17,Breeze,BBL VS KOI
C0M,17,Lotus,SEN VS LEV
MrFaliN,17,Sunset,VIT VS FUT
tex,17,Lotus,SEN VS LEV
Demon1,17,Split,NRG VS FUR
paTiTek,17,Lotus,FNC VS TH
ban,17,Lotus,BLD VS TLN
Mistic,17,Split,TL VS NAVI
paTiTek,17,Sunset,BBL VS TH
icy,17,Bind,G2 VS 100T
Dep,17,Sunset,TS VS ZETA
BeYN,17,Split,GEN VS DRX
Meteor,17,Bind,GEN VS DRX
Lmemore,17,Breeze,TS VS RRQ
mwzera,17,Breeze,NRG VS FUR
Zyppan,17,Ascent,TL VS NAVI
Elite,17,Icebox,BBL VS KOI
Governor,17,Lotus,GEN VS TLN
AtaKaptan,17,Breeze,KC VS FUT
yuran,17,Ascent,BLD VS ZETA
d4v41,17,Icebox,GEN VS PRX
mindfreak,17,Lotus,T1 VS PRX
Shao,17,Sunset,KC VS NAVI
JonahP,17,Lotus,G2 VS EG
Leo,17,Bind,FNC VS KOI
SUYGETSU,17,Lotus,VIT VS NAVI
sheydos,17,Ascent,KOI VS TL
valyn,17,Bind,G2 VS 100T
Governor,17,Icebox,BLD VS TLN
xffero,17,Icebox,TS VS RRQ
tomaszy,17,Split,KC VS NAVI
SugarZ3ro,17,Ascent,GE VS ZETA
stax,17,Bind,GEN VS DRX
tomaszy,17,Bind,KC VS NAVI
Munchkin,17,Lotus,GEN VS TLN
Keiko,17,Lotus,TL VS NAVI
SSeeS,17,Lotus,BLD VS DFM
invy,17,Split,TS VS RRQ
runi,17,Lotus,C9 VS EG
Sayf,17,Bind,VIT VS NAVI
f0rsakeN,16,Bind,GEN VS PRX
nataNk,16,Lotus,M8 VS FNC
Foxy9,16,Split,GEN VS DRX
BeYN,16,Lotus,TS VS DRX
sScary,16,Lotus,BLD VS ZETA
Zest,16,Split,BLD VS DFM
Governor,16,Bind,BLD VS TLN
MrFaliN,16,Bind,KC VS FUT
iZu,16,Lotus,T1 VS DFM
Polvi,16,Icebox,GE VS TLN
Zyppan,16,Lotus,VIT VS NAVI
JessieVash,16,Sunset,TS VS DRX
tuyz,16,Breeze,NRG VS LOUD
saadhak,16,Breeze,NRG VS LOUD
mindfreak,16,Bind,GEN VS PRX
Xeppaa,16,Lotus,C9 VS EG
Xeppaa,16,Sunset,C9 VS LEV
Zellsis,16,Icebox,SEN VS LEV
BeYN,16,Breeze,T1 VS DRX
trent,16,Bind,G2 VS 100T
kamo,16,Icebox,BBL VS KOI
Lmemore,16,Icebox,TS VS RRQ
heat,16,Lotus,KRU VS FUR
Lakia,16,Lotus,GEN VS PRX
iZu,16,Sunset,T1 VS DFM
Mistic,16,Ascent,KOI VS TL
nataNk,16,Breeze,M8 VS FNC
Meiy,16,Split,GEN VS DFM
Keiko,16,Ascent,TL VS GX
Polvi,16,Ascent,GE VS DRX
trent,16,Icebox,G2 VS EG
Retla,16,Sunset,BLD VS ZETA
C0M,16,Icebox,SEN VS LEV
JonahP,16,Icebox,G2 VS EG
Mistic,16,Lotus,TL VS NAVI
purp0,16,Ascent,TL VS GX
Boaster,16,Bind,FNC VS GX
Keiko,16,Split,KOI VS TL
SUYGETSU,16,Split,KC VS NAVI
Derke,16,Lotus,M8 VS FNC
pAura,16,Breeze,BBL VS KOI
Jemkin,16,Lotus,T1 VS RRQ
Polvi,16,Breeze,GE VS TLN
SugarZ3ro,16,Icebox,TS VS ZETA
yay,16,Split,BLD VS DFM
