Name,Rating,Map,MatchTeams
Victor,1.32,Split,NRG VS FUR
aspas,1.32,Ascent,C9 VS LEV
Elite,1.32,Sunset,BBL VS TH
Derke,1.31,Icebox,FNC VS KOI
TenZ,1.31,Split,SEN VS 100T
Boaster,1.31,Lotus,M8 VS FNC
Governor,1.3,Icebox,BLD VS TLN
Lakia,1.3,Ascent,GEN VS TLN
reazy,1.3,Split,BBL VS TH
stax,1.3,Lotus,GE VS DRX
N4RRATE,1.3,Breeze,KC VS GX
something,1.3,Lotus,GEN VS PRX
MiniBoo,1.3,Breeze,VIT VS TH
Dep,1.3,Icebox,GE VS ZETA
cNed,1.29,Breeze,KC VS FUT
invy,1.29,Sunset,TS VS ZETA
Boo,1.29,Icebox,FNC VS TH
Xeppaa,1.29,Split,C9 VS EG
Cloud,1.29,Breeze,FNC VS GX
Sayf,1.29,Sunset,VIT VS FUT
MaKo,1.29,Bind,T1 VS DRX
yetujey,1.29,Lotus,KC VS FUT
Less,1.29,Breeze,NRG VS LOUD
Cryocells,1.29,Icebox,SEN VS 100T
trexx,1.28,Icebox,VIT VS FUT
tomaszy,1.28,Split,KC VS NAVI
Munchkin,1.28,Lotus,GEN VS DFM
Klaus,1.28,Icebox,KRU VS MIBR
leaf,1.28,Icebox,G2 VS EG
