Name,First Kills,Map,MatchTeams
t3xture,3,Lotus,GEN VS PRX
purp0,3,Ascent,TL VS GX
Retla,3,Bind,BLD VS TLN
Lakia,3,Ascent,GEN VS DRX
d4v41,3,Icebox,GEN VS PRX
Melser,3,Icebox,KRU VS MIBR
Brave,3,Sunset,BBL VS TH
Medusa,3,Sunset,T1 VS DFM
f0rsakeN,3,Lotus,T1 VS PRX
Meteor,3,Lotus,GEN VS TLN
SSeeS,3,Ascent,T1 VS DFM
QutionerX,3,Sunset,BBL VS M8
Carpe,3,Split,T1 VS DRX
paTiTek,3,Sunset,BBL VS TH
Estrella,3,Icebox,TS VS RRQ
JessieVash,3,Sunset,TS VS DRX
Enzo,3,Lotus,TL VS GX
neth,3,Lotus,BLD VS DFM
kiNgg,3,Sunset,C9 VS LEV
Laz,3,Icebox,TS VS ZETA
kamo,3,Split,KOI VS TL
Boo,3,Lotus,FNC VS TH
JitBoyS,3,Ascent,GEN VS TLN
yay,3,Sunset,BLD VS ZETA
Polvi,3,Icebox,GE VS TLN
OXY,3,Sunset,C9 VS LEV
Carpe,3,Bind,T1 VS PRX
moose,3,Ascent,C9 VS LEV
yuran,3,Sunset,TS VS ZETA
Jamppi,3,Split,TL VS FUT
tex,3,Sunset,C9 VS LEV
blaZek1ng,3,Breeze,GE VS TLN
Quick,3,Breeze,NRG VS LOUD
yay,3,Icebox,BLD VS RRQ
kon4n,3,Breeze,NRG VS FUR
purp0,3,Icebox,TL VS GX
zekken,3,Icebox,SEN VS 100T
saadhak,3,Breeze,NRG VS LOUD
C0M,3,Lotus,SEN VS LEV
ban,3,Bind,BLD VS TLN
Boaster,3,Lotus,FNC VS TH
Polvi,3,Ascent,GE VS DRX
Karon,3,Ascent,GEN VS DRX
tex,3,Lotus,SEN VS LEV
Meiy,3,Ascent,BLD VS DFM
ban,3,Ascent,GEN VS TLN
kamo,3,Icebox,BBL VS KOI
pAura,3,Sunset,BBL VS TH
valyn,3,Bind,G2 VS 100T
sScary,3,Icebox,BLD VS RRQ
trexx,3,Icebox,VIT VS TH
BORKUM,3,Icebox,TS VS RRQ
Marved,3,Breeze,NRG VS LOUD
BeYN,3,Split,GEN VS DRX
runneR,3,Icebox,VIT VS TH
N4RRATE,3,Breeze,KC VS GX
Laz,3,Ascent,BLD VS ZETA
Cloud,3,Ascent,TL VS GX
JitBoyS,3,Breeze,GE VS TLN
Dep,3,Icebox,GE VS ZETA
JitBoyS,3,Lotus,BLD VS TLN
supamen,3,Lotus,C9 VS EG
TenZ,3,Split,SEN VS 100T
leaf,3,Lotus,G2 VS EG
Derke,3,Lotus,M8 VS FNC
Jemkin,3,Lotus,BLD VS RRQ
Jamppi,3,Ascent,TL VS GX
Demon1,3,Split,NRG VS FUR
bang,3,Split,G2 VS 100T
Alfajer,3,Icebox,FNC VS KOI
trent,3,Lotus,G2 VS EG
keznit,3,Sunset,KRU VS MIBR
Jemkin,3,Icebox,TS VS RRQ
Chronicle,3,Bind,FNC VS KOI
Meiy,3,Ascent,T1 VS DFM
Victor,3,Breeze,NRG VS FUR
iZu,3,Lotus,T1 VS RRQ
SugarZ3ro,3,Lotus,TS VS ZETA
trexx,3,Breeze,VIT VS TH
Fit1nho,3,Sunset,KC VS GX
Mistic,3,Ascent,KOI VS TL
N4RRATE,3,Split,KC VS M8
Zyppan,3,Lotus,VIT VS NAVI
Xeppaa,3,Split,C9 VS EG
Deryeon,3,Sunset,BLD VS ZETA
keznit,3,Breeze,KRU VS FUR
Shao,3,Sunset,KC VS NAVI
invy,3,Split,TS VS RRQ
Munchkin,3,Lotus,GEN VS DFM
trexx,3,Icebox,VIT VS FUT
Boo,3,Icebox,FNC VS TH
ardiis,3,Split,TL VS NAVI
Mistic,3,Lotus,TL VS NAVI
BuZz,3,Split,T1 VS DRX
nataNk,3,Ascent,BBL VS M8
Shao,3,Split,TL VS NAVI
Russ,3,Icebox,GE VS ZETA
Alfajer,3,Lotus,M8 VS FNC
Cloud,3,Breeze,FNC VS GX
cNed,3,Breeze,KC VS FUT
cNed,3,Split,TL VS FUT
Jemkin,3,Split,TS VS RRQ
yetujey,3,Lotus,KC VS FUT
benjyfishy,3,Sunset,VIT VS TH
Redgar,3,Icebox,TL VS GX
Sayf,3,Sunset,VIT VS FUT
yetujey,2,Breeze,KC VS FUT
qRaxs,2,Breeze,KC VS FUT
iZu,2,Lotus,T1 VS PRX
Shyy,2,Icebox,KRU VS FUR
yetujey,2,Ascent,VIT VS FUT
Jamppi,2,Lotus,TL VS GX
Boo,2,Split,BBL VS TH
JitBoyS,2,Icebox,BLD VS TLN
Zellsis,2,Lotus,SEN VS LEV
stax,2,Breeze,T1 VS DRX
Jemkin,2,Breeze,TS VS RRQ
hoody,2,Bind,FNC VS GX
JessieVash,2,Icebox,TS VS RRQ
Zest,2,Split,BLD VS DFM
sh1n,2,Bind,KC VS FUT
Melser,2,Icebox,KRU VS FUR
heat,2,Lotus,KRU VS FUR
leaf,2,Split,G2 VS 100T
MaKo,2,Ascent,GEN VS DRX
Chronicle,2,Split,FNC VS GX
Khalil,2,Breeze,KRU VS FUR
SUYGETSU,2,Lotus,VIT VS NAVI
ceNder,2,Ascent,VIT VS FUT
Deryeon,2,Icebox,BLD VS RRQ
frz,2,Sunset,KRU VS MIBR
eeiu,2,Split,SEN VS 100T
Keiko,2,Lotus,TL VS NAVI
Brave,2,Breeze,BBL VS KOI
Apoth,2,Lotus,C9 VS EG
stax,2,Lotus,GE VS DRX
Lakia,2,Ascent,GEN VS TLN
Meiy,2,Split,BLD VS DFM
Less,2,Breeze,NRG VS LOUD
Asuna,2,Split,SEN VS 100T
MaKo,2,Split,GEN VS DRX
Karon,2,Bind,GEN VS PRX
Estrella,2,Breeze,TS VS RRQ
Boo,2,Breeze,VIT VS TH
Lightningfast,2,Lotus,GE VS TLN
Lightningfast,2,Ascent,GE VS DRX
Karon,2,Icebox,GEN VS PRX
Dep,2,Icebox,TS VS ZETA
sheydos,2,Bind,FNC VS KOI
sScary,2,Split,BLD VS DFM
BeYN,2,Bind,GEN VS DRX
Retla,2,Sunset,BLD VS ZETA
Retla,2,Ascent,BLD VS ZETA
Munchkin,2,Ascent,GEN VS TLN
Cryocells,2,Split,SEN VS 100T
qRaxs,2,Bind,KC VS FUT
NDG,2,Icebox,TS VS RRQ
Rossy,2,Sunset,T1 VS DFM
valyn,2,Lotus,G2 VS EG
MAGNUM,2,Breeze,KC VS FUT
RieNs,2,Split,BBL VS TH
xccurate,2,Bind,T1 VS DRX
NDG,2,Sunset,TS VS ZETA
ceNder,2,Bind,VIT VS NAVI
Foxy9,2,Bind,GEN VS DRX
runneR,2,Breeze,VIT VS TH
marteen,2,Icebox,KC VS M8
Zyppan,2,Lotus,TL VS NAVI
paTiTek,2,Icebox,FNC VS TH
Derke,2,Icebox,FNC VS TH
Alfajer,2,Breeze,FNC VS GX
Anthem,2,Sunset,T1 VS DFM
Boaster,2,Lotus,M8 VS FNC
fl1pzjder,2,Icebox,TS VS RRQ
SugarZ3ro,2,Sunset,BLD VS ZETA
invy,2,Breeze,TS VS RRQ
hiroronn,2,Ascent,GE VS ZETA
havoc,2,Breeze,KRU VS FUR
Fit1nho,2,Breeze,KC VS GX
ban,2,Lotus,GE VS TLN
heat,2,Breeze,KRU VS FUR
Marved,2,Split,NRG VS FUR
kamo,2,Ascent,KOI VS TL
RgLMeister,2,Icebox,KRU VS MIBR
Cloud,2,Split,FNC VS GX
ShadoW,2,Bind,FNC VS KOI
Lightningfast,2,Lotus,GE VS DRX
Chronicle,2,Breeze,FNC VS GX
AtaKaptan,2,Bind,KC VS FUT
kon4n,2,Lotus,KRU VS FUR
JessieVash,2,Lotus,TS VS DRX
jawgemo,2,Split,C9 VS EG
Anthem,2,Lotus,GEN VS DFM
marteen,2,Lotus,KC VS FUT
JitBoyS,2,Icebox,GE VS TLN
supamen,2,Lotus,G2 VS EG
Sacy,2,Icebox,SEN VS 100T
nAts,2,Icebox,TL VS GX
icy,2,Split,G2 VS 100T
Governor,2,Ascent,GEN VS TLN
Elite,2,Breeze,BBL VS KOI
benjyfishy,2,Breeze,VIT VS TH
runneR,2,Ascent,VIT VS FUT
Mistic,2,Ascent,TL VS NAVI
NDG,2,Lotus,TS VS DRX
purp0,2,Breeze,KC VS GX
Russ,2,Sunset,GE VS ZETA
MiniBoo,2,Sunset,BBL VS TH
Polvi,2,Lotus,GE VS DRX
TakaS,2,Breeze,M8 VS FNC
Boostio,2,Icebox,SEN VS 100T
supamen,2,Split,C9 VS EG
Shao,2,Lotus,VIT VS NAVI
ban,2,Icebox,GE VS TLN
tomaszy,2,Lotus,KC VS FUT
Governor,2,Lotus,BLD VS TLN
supamen,2,Sunset,C9 VS EG
Lmemore,2,Split,TS VS RRQ
TakaS,2,Split,KC VS M8
yay,2,Lotus,BLD VS RRQ
zekken,2,Lotus,SEN VS LEV
starxo,2,Icebox,BBL VS KOI
Redgar,2,Bind,FNC VS GX
marteen,2,Sunset,KC VS GX
Wailers,2,Icebox,KC VS M8
ShadoW,2,Icebox,FNC VS KOI
Fit1nho,2,Split,FNC VS GX
Chronicle,2,Icebox,FNC VS TH
something,2,Bind,GEN VS PRX
Retla,2,Ascent,BLD VS DFM
BORKUM,2,Sunset,TS VS ZETA
Munchkin,2,Bind,GEN VS DRX
Meteor,2,Bind,GEN VS PRX
grubinho,2,Ascent,KOI VS TL
QutionerX,2,Icebox,BBL VS KOI
ANGE1,2,Split,TL VS NAVI
neth,2,Split,BLD VS DFM
RieNs,2,Icebox,VIT VS TH
Foxy9,2,Ascent,GE VS DRX
Zest,2,Lotus,BLD VS TLN
Apoth,2,Lotus,G2 VS EG
invy,2,Icebox,TS VS ZETA
yay,2,Ascent,BLD VS DFM
Munchkin,2,Lotus,GEN VS PRX
t3xture,2,Icebox,GEN VS PRX
xccurate,2,Lotus,T1 VS RRQ
Wailers,2,Sunset,BBL VS M8
xffero,2,Lotus,T1 VS RRQ
nAts,2,Ascent,TL VS GX
AtaKaptan,2,Breeze,KC VS FUT
Brave,2,Icebox,BBL VS KOI
nAts,2,Split,TL VS FUT
Foxy9,2,Bind,T1 VS DRX
Shao,2,Bind,KC VS NAVI
Keiko,2,Ascent,TL VS NAVI
vanity,2,Ascent,C9 VS LEV
Asuna,2,Icebox,SEN VS 100T
Rossy,2,Breeze,T1 VS DRX
runi,2,Sunset,C9 VS LEV
Xeppaa,2,Icebox,C9 VS LEV
Medusa,2,Split,BLD VS DFM
sScary,2,Lotus,BLD VS TLN
qRaxs,2,Sunset,VIT VS FUT
qRaxs,2,Lotus,KC VS FUT
nAts,2,Lotus,TL VS NAVI
nzr,2,Icebox,KRU VS FUR
Ethan,2,Breeze,NRG VS LOUD
mazin,2,Sunset,KRU VS MIBR
jawgemo,2,Icebox,G2 VS EG
Enzo,2,Split,TL VS NAVI
xffero,2,Split,TS VS RRQ
Sayf,2,Icebox,VIT VS TH
Medusa,2,Lotus,BLD VS DFM
marteen,2,Split,KC VS M8
MrFaliN,2,Split,TL VS FUT
t3xture,2,Lotus,GEN VS DFM
Rossy,2,Lotus,T1 VS DFM
Deryeon,2,Lotus,BLD VS TLN
f0rsakeN,2,Bind,GEN VS PRX
BeYN,2,Breeze,T1 VS DRX
trent,2,Bind,G2 VS 100T
MaKo,2,Sunset,TS VS DRX
pAura,2,Ascent,BBL VS M8
MrFaliN,2,Ascent,VIT VS FUT
cNed,2,Sunset,VIT VS FUT
Zellsis,2,Icebox,SEN VS 100T
mindfreak,2,Lotus,T1 VS PRX
fl1pzjder,2,Breeze,TS VS RRQ
Lightningfast,2,Ascent,GE VS ZETA
bang,2,Icebox,SEN VS 100T
MaKo,2,Breeze,T1 VS DRX
Jremy,2,Lotus,TS VS ZETA
MrFaliN,2,Bind,KC VS FUT
hiroronn,2,Icebox,TS VS ZETA
MrFaliN,2,Icebox,TL VS FUT
Jinggg,2,Bind,GEN VS PRX
yuran,2,Ascent,GE VS ZETA
AtaKaptan,2,Ascent,VIT VS FUT
BeYN,2,Lotus,TS VS DRX
ceNder,2,Icebox,VIT VS TH
nAts,2,Split,KOI VS TL
Lightningfast,2,Breeze,GE VS TLN
Cloud,2,Sunset,KC VS GX
Laz,2,Sunset,TS VS ZETA
SUYGETSU,2,Split,KC VS NAVI
johnqt,2,Lotus,SEN VS LEV
Lakia,2,Lotus,GEN VS TLN
Sacy,2,Split,SEN VS 100T
Melser,2,Breeze,KRU VS FUR
sScary,2,Bind,BLD VS TLN
Carpe,2,Ascent,T1 VS RRQ
vanity,2,Split,C9 VS EG
Sayf,2,Ascent,VIT VS FUT
