Name,HS Rate,Map,MatchTeams
Khalil,0.29,Icebox,KRU VS FUR
starxo,0.29,Split,KOI VS TL
iZu,0.29,Sunset,T1 VS DFM
Shao,0.29,Split,TL VS NAVI
supamen,0.29,Split,C9 VS EG
ANGE1,0.29,Ascent,TL VS NAVI
Leo,0.29,Breeze,M8 VS FNC
Lakia,0.29,Lotus,GEN VS DFM
runi,0.29,Split,C9 VS EG
Governor,0.29,Bind,BLD VS TLN
heat,0.29,Icebox,KRU VS FUR
Medusa,0.29,Ascent,T1 VS DFM
f0rsakeN,0.29,Bind,T1 VS PRX
Crws,0.29,Lotus,GE VS TLN
sh1n,0.29,Sunset,KC VS GX
SUYGETSU,0.29,Ascent,TL VS NAVI
Marved,0.29,Split,NRG VS FUR
supamen,0.29,Lotus,C9 VS EG
tomaszy,0.29,Breeze,KC VS GX
Foxy9,0.29,Lotus,GE VS DRX
hoody,0.28,Breeze,FNC VS GX
Chronicle,0.28,Bind,FNC VS GX
f0rsakeN,0.28,Bind,GEN VS PRX
Cloud,0.28,Breeze,KC VS GX
Polvi,0.28,Breeze,GE VS TLN
OXY,0.28,Icebox,C9 VS LEV
logaN,0.28,Sunset,BBL VS M8
Leo,0.28,Bind,FNC VS KOI
Marved,0.28,Breeze,NRG VS FUR
something,0.28,Lotus,GEN VS PRX
yetujey,0.28,Icebox,VIT VS FUT
Zyppan,0.28,Bind,KC VS NAVI
Meiy,0.28,Split,GEN VS DFM
eeiu,0.28,Bind,G2 VS 100T
d4v41,0.28,Bind,T1 VS PRX
bang,0.28,Icebox,SEN VS 100T
nzr,0.28,Split,NRG VS FUR
Jremy,0.28,Sunset,TS VS ZETA
something,0.28,Lotus,T1 VS PRX
NDG,0.28,Icebox,TS VS ZETA
beyAz,0.28,Split,KC VS M8
Shyy,0.28,Icebox,KRU VS MIBR
yuran,0.28,Sunset,GE VS ZETA
Lakia,0.28,Bind,GEN VS PRX
OXY,0.28,Sunset,C9 VS LEV
SSeeS,0.28,Sunset,T1 VS DFM
xffero,0.28,Split,TS VS RRQ
t3xture,0.28,Lotus,GEN VS DFM
MAGNUM,0.28,Split,KC VS NAVI
SugarZ3ro,0.28,Lotus,TS VS ZETA
kiNgg,0.28,Icebox,C9 VS LEV
Jamppi,0.28,Ascent,KOI VS TL
xccurate,0.28,Ascent,T1 VS RRQ
Carpe,0.28,Breeze,T1 VS DRX
hoody,0.28,Lotus,TL VS GX
sh1n,0.28,Bind,KC VS NAVI
starxo,0.28,Ascent,KOI VS TL
Klaus,0.28,Lotus,KRU VS FUR
Victor,0.28,Breeze,NRG VS LOUD
Victor,0.28,Breeze,NRG VS FUR
Dep,0.27,Sunset,TS VS ZETA
neth,0.27,Lotus,GEN VS DFM
tomaszy,0.27,Icebox,KC VS M8
blaZek1ng,0.27,Icebox,GE VS ZETA
Jamppi,0.27,Lotus,TL VS GX
Keiko,0.27,Split,TL VS NAVI
Jamppi,0.27,Split,KOI VS TL
qRaxs,0.27,Sunset,VIT VS FUT
eeiu,0.27,Split,SEN VS 100T
Meiy,0.27,Ascent,T1 VS DFM
paTiTek,0.27,Breeze,VIT VS TH
Retla,0.27,Lotus,BLD VS TLN
Jremy,0.27,Icebox,TS VS RRQ
kamo,0.27,Ascent,KOI VS TL
Derrek,0.27,Lotus,G2 VS EG
Meteor,0.27,Lotus,GEN VS DFM
tomaszy,0.27,Bind,KC VS FUT
Zest,0.27,Ascent,BLD VS ZETA
cauanzin,0.27,Sunset,NRG VS LOUD
d4v41,0.27,Lotus,T1 VS PRX
tex,0.27,Lotus,SEN VS LEV
TenZ,0.27,Icebox,SEN VS 100T
Anthem,0.27,Lotus,T1 VS DFM
SSeeS,0.27,Lotus,T1 VS DFM
Mistic,0.27,Icebox,TL VS GX
yuran,0.27,Icebox,GE VS ZETA
Zyppan,0.27,Split,TL VS NAVI
Karon,0.27,Lotus,GEN VS TLN
TenZ,0.27,Lotus,SEN VS LEV
beyAz,0.27,Lotus,M8 VS FNC
something,0.27,Bind,T1 VS PRX
paTiTek,0.27,Sunset,BBL VS TH
nzr,0.27,Breeze,KRU VS FUR
Boaster,0.27,Lotus,M8 VS FNC
MaKo,0.27,Ascent,GE VS DRX
ceNder,0.27,Breeze,VIT VS TH
ANGE1,0.27,Split,KC VS NAVI
MrFaliN,0.27,Breeze,KC VS FUT
Deryeon,0.27,Icebox,BLD VS RRQ
Fit1nho,0.27,Split,FNC VS GX
MaKo,0.27,Bind,T1 VS DRX
invy,0.27,Split,TS VS RRQ
Sayaplayer,0.27,Lotus,T1 VS PRX
purp0,0.27,Breeze,KC VS GX
Munchkin,0.26,Bind,GEN VS PRX
benjyfishy,0.26,Breeze,VIT VS TH
yuran,0.26,Lotus,TS VS ZETA
Shao,0.26,Bind,VIT VS NAVI
ban,0.26,Bind,BLD VS TLN
iZu,0.26,Lotus,T1 VS DFM
OXY,0.26,Ascent,C9 VS LEV
yetujey,0.26,Split,TL VS FUT
Crws,0.26,Breeze,GE VS TLN
ardiis,0.26,Bind,VIT VS NAVI
Kicks,0.26,Icebox,VIT VS TH
JessieVash,0.26,Split,TS VS RRQ
