Name,ACS,MatchTeams,Date
Fit1nho,234.5,KC VS GX,April 3rd 2024
runneR,234.0,VIT VS TH,April 10th 2024
yetujey,233.33,KC VS FUT,April 10th 2024
RieNs,232.67,VIT VS TH,April 10th 2024
Sacy,232.5,SEN VS 100T,April 7th 2024
MaKo,232.0,TS VS DRX,April 6th 2024
Leo,232.0,FNC VS TH,April 4th 2024
logaN,231.0,KC VS M8,April 12th 2024
yay,230.33,BLD VS TLN,April 7th 2024
pAura,230.0,BBL VS M8,April 5th 2024
Russ,229.5,GE VS DRX,April 8th 2024
Governor,229.33,GE VS TLN,April 15th 2024
Cryocells,229.0,G2 VS 100T,April 13th 2024
Jemkin,229.0,BLD VS RRQ,April 14th 2024
Alfajer,228.0,FNC VS KOI,April 19th 2024
MrFaliN,228.0,VIT VS FUT,April 18th 2024
Marved,227.5,NRG VS LOUD,April 6th 2024
Jinggg,226.5,T1 VS PRX,April 7th 2024
Xeppaa,226.33,C9 VS LEV,April 6th 2024
Shao,226.33,TL VS NAVI,April 11th 2024
mindfreak,226.33,GEN VS PRX,April 13th 2024
ban,226.0,GEN VS TLN,April 9th 2024
Zyppan,225.67,TL VS NAVI,April 11th 2024
cNed,225.5,TL VS FUT,April 5th 2024
Keiko,225.0,TL VS GX,April 19th 2024
ANGE1,225.0,VIT VS NAVI,April 4th 2024
sheydos,225.0,KOI VS TL,April 3rd 2024
Asuna,224.0,G2 VS 100T,April 13th 2024
lenne,224.0,GEN VS TLN,April 9th 2024
BORKUM,223.67,TS VS ZETA,April 14th 2024
Sayf,223.0,VIT VS FUT,April 18th 2024
Rossy,222.5,T1 VS RRQ,April 16th 2024
ceNder,222.33,VIT VS TH,April 10th 2024
JitBoyS,221.67,GE VS TLN,April 15th 2024
Munchkin,221.5,GEN VS DFM,April 15th 2024
kiNgg,221.5,SEN VS LEV,April 13th 2024
Jremy,221.33,TS VS ZETA,April 14th 2024
Zest,221.33,BLD VS ZETA,April 16th 2024
crashies,221.0,NRG VS LOUD,April 6th 2024
xccurate,221.0,T1 VS PRX,April 7th 2024
yuran,220.67,TS VS ZETA,April 14th 2024
Sayf,220.67,VIT VS TH,April 10th 2024
cNed,220.33,VIT VS FUT,April 18th 2024
BuZz,220.0,GEN VS DRX,April 20th 2024
Sayaplayer,219.67,T1 VS DFM,April 9th 2024
iZu,219.5,T1 VS RRQ,April 16th 2024
benjyfishy,219.0,FNC VS TH,April 4th 2024
Lightningfast,218.67,GE VS ZETA,April 6th 2024
BeYN,218.33,GEN VS DRX,April 20th 2024
marteen,218.0,KC VS FUT,April 10th 2024
Elite,218.0,BBL VS TH,April 18th 2024
sScary,217.67,BLD VS TLN,April 7th 2024
SUYGETSU,217.67,TL VS NAVI,April 11th 2024
invy,217.0,TS VS ZETA,April 14th 2024
Chronicle,216.67,FNC VS GX,April 12th 2024
Meiy,216.0,BLD VS DFM,April 20th 2024
BORKUM,215.67,TS VS RRQ,April 8th 2024
SugarZ3ro,215.33,BLD VS ZETA,April 16th 2024
ban,215.0,BLD VS TLN,April 7th 2024
bang,215.0,SEN VS 100T,April 7th 2024
stax,215.0,T1 VS DRX,April 13th 2024
bang,215.0,G2 VS 100T,April 13th 2024
Kicks,214.67,VIT VS TH,April 10th 2024
ban,214.33,GE VS TLN,April 15th 2024
Meteor,214.33,GEN VS PRX,April 13th 2024
purp0,213.67,FNC VS GX,April 12th 2024
nAts,213.33,TL VS NAVI,April 11th 2024
sh1n,213.0,KC VS GX,April 3rd 2024
Zyppan,213.0,KC VS NAVI,April 17th 2024
MrFaliN,212.5,TL VS FUT,April 5th 2024
TenZ,212.5,SEN VS 100T,April 7th 2024
Klaus,212.0,KRU VS MIBR,April 14th 2024
Keiko,211.67,TL VS NAVI,April 11th 2024
artzin,211.5,KRU VS MIBR,April 14th 2024
Zyppan,211.5,VIT VS NAVI,April 4th 2024
invy,211.33,TS VS RRQ,April 8th 2024
Jamppi,211.0,KOI VS TL,April 3rd 2024
Rossy,211.0,T1 VS DFM,April 9th 2024
t3xture,210.67,GEN VS DRX,April 20th 2024
benjyfishy,210.5,BBL VS TH,April 18th 2024
d4v41,210.0,T1 VS PRX,April 7th 2024
Sayaplayer,210.0,T1 VS PRX,April 7th 2024
mwzera,209.67,KRU VS FUR,April 8th 2024
AtaKaptan,209.0,TL VS FUT,April 5th 2024
Shao,208.5,VIT VS NAVI,April 4th 2024
ceNder,208.0,VIT VS FUT,April 18th 2024
Marved,208.0,NRG VS FUR,April 14th 2024
jzz,207.5,KRU VS MIBR,April 14th 2024
Deryeon,206.67,BLD VS ZETA,April 16th 2024
marteen,206.5,KC VS M8,April 12th 2024
sh1n,206.5,KC VS M8,April 12th 2024
neth,206.33,T1 VS DFM,April 9th 2024
Russ,206.33,GE VS ZETA,April 6th 2024
Lakia,206.0,GEN VS TLN,April 9th 2024
Chronicle,206.0,FNC VS KOI,April 19th 2024
something,206.0,T1 VS PRX,April 7th 2024
jawgemo,205.67,C9 VS EG,April 15th 2024
Jremy,205.5,TS VS DRX,April 6th 2024
Leo,205.0,M8 VS FNC,April 17th 2024
iZu,205.0,T1 VS DFM,April 9th 2024
Jinggg,204.67,GEN VS PRX,April 13th 2024
NDG,204.67,TS VS ZETA,April 14th 2024
fl1pzjder,204.67,TS VS RRQ,April 8th 2024
Medusa,204.67,T1 VS DFM,April 9th 2024
Cloud,204.5,KC VS GX,April 3rd 2024
MaKo,204.5,GE VS DRX,April 8th 2024
Carpe,204.0,T1 VS PRX,April 7th 2024
Enzo,204.0,TL VS NAVI,April 11th 2024
kiNgg,203.67,C9 VS LEV,April 6th 2024
zekken,203.5,SEN VS LEV,April 13th 2024
Xeppaa,203.33,C9 VS EG,April 15th 2024
marteen,203.33,KC VS NAVI,April 17th 2024
frz,203.0,KRU VS MIBR,April 14th 2024
Leo,203.0,FNC VS KOI,April 19th 2024
f0rsakeN,202.67,GEN VS PRX,April 13th 2024
heat,202.5,KRU VS MIBR,April 14th 2024
Zellsis,202.5,SEN VS LEV,April 13th 2024
SugarZ3ro,202.33,TS VS ZETA,April 14th 2024
paTiTek,202.0,BBL VS TH,April 18th 2024
N4RRATE,202.0,KC VS NAVI,April 17th 2024
Keiko,201.5,KOI VS TL,April 3rd 2024
yuran,201.0,BLD VS ZETA,April 16th 2024
Sayf,201.0,VIT VS NAVI,April 4th 2024
xffero,201.0,TS VS RRQ,April 8th 2024
Fit1nho,200.67,FNC VS GX,April 12th 2024
Boo,200.5,FNC VS TH,April 4th 2024
nzr,200.0,NRG VS FUR,April 14th 2024
hiroronn,198.67,GE VS ZETA,April 6th 2024
qRaxs,198.0,TL VS FUT,April 5th 2024
yetujey,198.0,TL VS FUT,April 5th 2024
sScary,197.67,BLD VS ZETA,April 16th 2024
ardiis,197.67,TL VS NAVI,April 11th 2024
johnqt,197.5,SEN VS 100T,April 7th 2024
Fit1nho,197.33,TL VS GX,April 19th 2024
