Name,Kills,MatchTeams,Date
Derke,31,FNC VS TH,April 4th 2024
Crws,31,GE VS TLN,April 15th 2024
blaZek1ng,31,GE VS ZETA,April 6th 2024
bang,31,G2 VS 100T,April 13th 2024
Asuna,31,G2 VS 100T,April 13th 2024
Rossy,31,T1 VS DRX,April 13th 2024
Leo,31,FNC VS KOI,April 19th 2024
Redgar,31,FNC VS GX,April 12th 2024
heat,31,KRU VS MIBR,April 14th 2024
paTiTek,30,FNC VS TH,April 4th 2024
Cloud,30,KC VS GX,April 3rd 2024
Shao,30,VIT VS NAVI,April 4th 2024
johnqt,30,SEN VS 100T,April 7th 2024
MrFaliN,30,TL VS FUT,April 5th 2024
nataNk,30,KC VS M8,April 12th 2024
Rossy,30,T1 VS RRQ,April 16th 2024
Mistic,30,KOI VS TL,April 3rd 2024
paTiTek,30,BBL VS TH,April 18th 2024
Chronicle,30,FNC VS TH,April 4th 2024
mindfreak,30,T1 VS PRX,April 7th 2024
Munchkin,30,GEN VS DFM,April 15th 2024
Klaus,30,KRU VS MIBR,April 14th 2024
Boaster,30,FNC VS GX,April 12th 2024
Rossy,30,T1 VS PRX,April 7th 2024
Lakia,30,GEN VS TLN,April 9th 2024
vanity,29,C9 VS EG,April 15th 2024
valyn,29,G2 VS 100T,April 13th 2024
qRaxs,29,TL VS FUT,April 5th 2024
jzz,29,KRU VS MIBR,April 14th 2024
Boo,29,VIT VS TH,April 10th 2024
sh1n,29,KC VS GX,April 3rd 2024
TenZ,29,SEN VS 100T,April 7th 2024
Brave,29,BBL VS TH,April 18th 2024
sh1n,29,KC VS M8,April 12th 2024
bang,29,SEN VS 100T,April 7th 2024
Jemkin,29,T1 VS RRQ,April 16th 2024
yetujey,29,TL VS FUT,April 5th 2024
tex,29,SEN VS LEV,April 13th 2024
Jemkin,28,BLD VS RRQ,April 14th 2024
Brave,28,BBL VS KOI,April 11th 2024
SUYGETSU,28,VIT VS NAVI,April 4th 2024
Sayf,28,VIT VS NAVI,April 4th 2024
Sacy,28,SEN VS LEV,April 13th 2024
JessieVash,28,TS VS ZETA,April 14th 2024
AtaKaptan,28,TL VS FUT,April 5th 2024
MAGNUM,28,KC VS M8,April 12th 2024
Munchkin,28,GEN VS TLN,April 9th 2024
sScary,28,BLD VS RRQ,April 14th 2024
Cloud,28,FNC VS GX,April 12th 2024
Zest,28,BLD VS TLN,April 7th 2024
