Name,Kast,MatchTeams,Date
sh1n,0.77,KC VS M8,April 12th 2024
Meteor,0.77,GEN VS TLN,April 9th 2024
TenZ,0.77,SEN VS 100T,April 7th 2024
benjyfishy,0.77,BBL VS TH,April 18th 2024
Cryocells,0.77,G2 VS 100T,April 13th 2024
Munchkin,0.77,GEN VS TLN,April 9th 2024
Lakia,0.76,GEN VS TLN,April 9th 2024
Boaster,0.76,FNC VS KOI,April 19th 2024
QutionerX,0.76,BBL VS KOI,April 11th 2024
vanity,0.76,C9 VS LEV,April 6th 2024
neth,0.76,T1 VS DFM,April 9th 2024
hiroronn,0.76,GE VS ZETA,April 6th 2024
keznit,0.76,KRU VS FUR,April 8th 2024
aspas,0.76,C9 VS LEV,April 6th 2024
Foxy9,0.76,TS VS DRX,April 6th 2024
BuZz,0.76,TS VS DRX,April 6th 2024
JitBoyS,0.76,BLD VS TLN,April 7th 2024
ban,0.76,BLD VS TLN,April 7th 2024
sScary,0.76,BLD VS ZETA,April 16th 2024
Derke,0.76,FNC VS KOI,April 19th 2024
Meteor,0.76,GEN VS DFM,April 15th 2024
tex,0.76,SEN VS LEV,April 13th 2024
Rossy,0.76,T1 VS RRQ,April 16th 2024
NaturE,0.76,G2 VS EG,April 7th 2024
t3xture,0.76,GEN VS DFM,April 15th 2024
Elite,0.76,BBL VS M8,April 5th 2024
heat,0.76,KRU VS MIBR,April 14th 2024
Leo,0.76,FNC VS KOI,April 19th 2024
d4v41,0.76,T1 VS PRX,April 7th 2024
qRaxs,0.75,VIT VS FUT,April 18th 2024
Medusa,0.75,T1 VS DFM,April 9th 2024
MiniBoo,0.75,VIT VS TH,April 10th 2024
Deryeon,0.75,BLD VS ZETA,April 16th 2024
Cloud,0.75,FNC VS GX,April 12th 2024
cNed,0.75,TL VS FUT,April 5th 2024
Mistic,0.75,TL VS NAVI,April 11th 2024
runi,0.75,C9 VS EG,April 15th 2024
Jamppi,0.75,TL VS NAVI,April 11th 2024
Estrella,0.75,TS VS RRQ,April 8th 2024
qRaxs,0.75,KC VS FUT,April 10th 2024
Sayaplayer,0.75,T1 VS RRQ,April 16th 2024
f0rsakeN,0.75,T1 VS PRX,April 7th 2024
MrFaliN,0.75,KC VS FUT,April 10th 2024
bang,0.75,SEN VS 100T,April 7th 2024
Victor,0.75,NRG VS LOUD,April 6th 2024
Sayf,0.75,VIT VS FUT,April 18th 2024
Retla,0.75,BLD VS TLN,April 7th 2024
Munchkin,0.75,GEN VS PRX,April 13th 2024
SUYGETSU,0.75,KC VS NAVI,April 17th 2024
Sacy,0.74,SEN VS 100T,April 7th 2024
AtaKaptan,0.74,TL VS FUT,April 5th 2024
C0M,0.74,SEN VS LEV,April 13th 2024
Boostio,0.74,G2 VS 100T,April 13th 2024
Jamppi,0.74,TL VS FUT,April 5th 2024
Sayf,0.74,VIT VS NAVI,April 4th 2024
Cryocells,0.74,SEN VS 100T,April 7th 2024
valyn,0.74,G2 VS 100T,April 13th 2024
Governor,0.74,GE VS TLN,April 15th 2024
Polvi,0.74,GE VS TLN,April 15th 2024
ardiis,0.74,KC VS NAVI,April 17th 2024
BORKUM,0.74,TS VS RRQ,April 8th 2024
SugarZ3ro,0.74,BLD VS ZETA,April 16th 2024
Wailers,0.74,BBL VS M8,April 5th 2024
eeiu,0.74,SEN VS 100T,April 7th 2024
ANGE1,0.74,VIT VS NAVI,April 4th 2024
johnqt,0.74,SEN VS LEV,April 13th 2024
paTiTek,0.74,FNC VS TH,April 4th 2024
qRaxs,0.74,TL VS FUT,April 5th 2024
JonahP,0.74,G2 VS EG,April 7th 2024
Keiko,0.74,KOI VS TL,April 3rd 2024
Ethan,0.74,NRG VS LOUD,April 6th 2024
ardiis,0.74,TL VS NAVI,April 11th 2024
Retla,0.74,BLD VS ZETA,April 16th 2024
Benkai,0.74,GE VS TLN,April 15th 2024
vanity,0.74,C9 VS EG,April 15th 2024
Melser,0.74,KRU VS FUR,April 8th 2024
Dep,0.74,GE VS ZETA,April 6th 2024
Klaus,0.74,KRU VS FUR,April 8th 2024
tex,0.74,C9 VS LEV,April 6th 2024
N4RRATE,0.74,KC VS M8,April 12th 2024
trexx,0.73,VIT VS NAVI,April 4th 2024
Jamppi,0.73,KOI VS TL,April 3rd 2024
QutionerX,0.73,BBL VS TH,April 18th 2024
iZu,0.73,T1 VS PRX,April 7th 2024
TenZ,0.73,SEN VS LEV,April 13th 2024
Redgar,0.73,FNC VS GX,April 12th 2024
sScary,0.73,BLD VS TLN,April 7th 2024
Karon,0.73,GEN VS PRX,April 13th 2024
blaZek1ng,0.73,GE VS TLN,April 15th 2024
Jinggg,0.73,GEN VS PRX,April 13th 2024
runneR,0.73,VIT VS FUT,April 18th 2024
Shao,0.73,KC VS NAVI,April 17th 2024
sh1n,0.73,KC VS NAVI,April 17th 2024
C0M,0.73,C9 VS LEV,April 6th 2024
Brave,0.73,BBL VS KOI,April 11th 2024
sheydos,0.73,KOI VS TL,April 3rd 2024
Jemkin,0.73,T1 VS RRQ,April 16th 2024
Melser,0.73,KRU VS MIBR,April 14th 2024
hoody,0.73,FNC VS GX,April 12th 2024
hoody,0.73,KC VS GX,April 3rd 2024
Alfajer,0.73,FNC VS GX,April 12th 2024
invy,0.73,TS VS ZETA,April 14th 2024
Surf,0.73,BLD VS TLN,April 7th 2024
hiroronn,0.73,BLD VS ZETA,April 16th 2024
sScary,0.73,BLD VS RRQ,April 14th 2024
cauanzin,0.73,NRG VS LOUD,April 6th 2024
fl1pzjder,0.73,BLD VS RRQ,April 14th 2024
mazin,0.72,KRU VS MIBR,April 14th 2024
SUYGETSU,0.72,TL VS NAVI,April 11th 2024
yay,0.72,BLD VS TLN,April 7th 2024
Lmemore,0.72,TS VS RRQ,April 8th 2024
moose,0.72,C9 VS LEV,April 6th 2024
Anthem,0.72,T1 VS DFM,April 9th 2024
ceNder,0.72,VIT VS TH,April 10th 2024
Mazino,0.72,SEN VS LEV,April 13th 2024
trent,0.72,G2 VS 100T,April 13th 2024
Karon,0.72,GEN VS TLN,April 9th 2024
TakaS,0.72,BBL VS M8,April 5th 2024
Alfajer,0.72,M8 VS FNC,April 17th 2024
icy,0.72,G2 VS EG,April 7th 2024
Boaster,0.72,FNC VS TH,April 4th 2024
pAura,0.72,BBL VS TH,April 18th 2024
Enzo,0.71,TL VS FUT,April 5th 2024
Less,0.71,NRG VS LOUD,April 6th 2024
Russ,0.71,GE VS ZETA,April 6th 2024
Mistic,0.71,TL VS GX,April 19th 2024
NaturE,0.71,C9 VS EG,April 15th 2024
nAts,0.71,TL VS NAVI,April 11th 2024
AtaKaptan,0.71,KC VS FUT,April 10th 2024
JessieVash,0.71,TS VS RRQ,April 8th 2024
johnqt,0.71,SEN VS 100T,April 7th 2024
Jremy,0.71,TS VS RRQ,April 8th 2024
sheydos,0.71,FNC VS KOI,April 19th 2024
moose,0.71,C9 VS EG,April 15th 2024
Crws,0.71,BLD VS TLN,April 7th 2024
stax,0.71,TS VS DRX,April 6th 2024
Carpe,0.71,T1 VS PRX,April 7th 2024
Boo,0.71,VIT VS TH,April 10th 2024
Enzo,0.71,TL VS NAVI,April 11th 2024
MrFaliN,0.71,VIT VS FUT,April 18th 2024
jzz,0.71,KRU VS MIBR,April 14th 2024
Lightningfast,0.71,GE VS DRX,April 8th 2024
keznit,0.71,KRU VS MIBR,April 14th 2024
Russ,0.7,GE VS TLN,April 15th 2024
Dep,0.7,TS VS ZETA,April 14th 2024
Sayaplayer,0.7,T1 VS DFM,April 9th 2024
Khalil,0.7,KRU VS FUR,April 8th 2024
Deryeon,0.7,BLD VS TLN,April 7th 2024
Enzo,0.7,TL VS GX,April 19th 2024
yetujey,0.7,KC VS FUT,April 10th 2024
RieNs,0.7,BBL VS TH,April 18th 2024
Alfajer,0.7,FNC VS TH,April 4th 2024
ardiis,0.7,VIT VS NAVI,April 4th 2024
Chronicle,0.7,FNC VS TH,April 4th 2024
starxo,0.7,FNC VS KOI,April 19th 2024
supamen,0.7,C9 VS EG,April 15th 2024
BORKUM,0.7,TS VS ZETA,April 14th 2024
xffero,0.7,TS VS RRQ,April 8th 2024
ceNder,0.7,VIT VS FUT,April 18th 2024
Governor,0.7,BLD VS TLN,April 7th 2024
MAGNUM,0.7,KC VS NAVI,April 17th 2024
Keiko,0.7,TL VS GX,April 19th 2024
hoody,0.7,TL VS GX,April 19th 2024
Zellsis,0.7,SEN VS LEV,April 13th 2024
eeiu,0.7,G2 VS 100T,April 13th 2024
ShadoW,0.7,KOI VS TL,April 3rd 2024
runneR,0.7,VIT VS NAVI,April 4th 2024
xccurate,0.69,T1 VS PRX,April 7th 2024
Dep,0.69,BLD VS ZETA,April 16th 2024
N4RRATE,0.69,KC VS NAVI,April 17th 2024
Foxy9,0.69,T1 VS DRX,April 13th 2024
xccurate,0.69,T1 VS DFM,April 9th 2024
Lakia,0.69,GEN VS PRX,April 13th 2024
Fit1nho,0.69,TL VS GX,April 19th 2024
Mazino,0.69,C9 VS LEV,April 6th 2024
invy,0.69,TS VS DRX,April 6th 2024
Jamppi,0.69,TL VS GX,April 19th 2024
paTiTek,0.69,VIT VS TH,April 10th 2024
Laz,0.69,TS VS ZETA,April 14th 2024
OXY,0.69,C9 VS LEV,April 6th 2024
Zest,0.69,BLD VS TLN,April 7th 2024
marteen,0.69,KC VS FUT,April 10th 2024
nataNk,0.69,KC VS M8,April 12th 2024
Kicks,0.68,VIT VS FUT,April 18th 2024
