Name,Rating,MatchTeams,Date
Alfajer,1.23,FNC VS GX,April 12th 2024
Munchkin,1.23,GEN VS DFM,April 15th 2024
Laz,1.23,BLD VS ZETA,April 16th 2024
Jremy,1.22,TS VS RRQ,April 8th 2024
Shao,1.22,TL VS NAVI,April 11th 2024
Cryocells,1.22,G2 VS 100T,April 13th 2024
stax,1.22,T1 VS DRX,April 13th 2024
Rossy,1.22,T1 VS RRQ,April 16th 2024
Klaus,1.22,KRU VS MIBR,April 14th 2024
SUYGETSU,1.22,TL VS NAVI,April 11th 2024
Boaster,1.22,M8 VS FNC,April 17th 2024
bang,1.22,G2 VS 100T,April 13th 2024
TenZ,1.22,SEN VS 100T,April 7th 2024
Zellsis,1.21,SEN VS 100T,April 7th 2024
Elite,1.21,BBL VS TH,April 18th 2024
Karon,1.21,GEN VS DFM,April 15th 2024
keznit,1.21,KRU VS MIBR,April 14th 2024
qRaxs,1.2,TL VS FUT,April 5th 2024
reazy,1.2,BBL VS KOI,April 11th 2024
JitBoyS,1.2,BLD VS TLN,April 7th 2024
Brave,1.2,BBL VS KOI,April 11th 2024
MrFaliN,1.19,TL VS FUT,April 5th 2024
BeYN,1.19,TS VS DRX,April 6th 2024
BORKUM,1.19,TS VS ZETA,April 14th 2024
runi,1.19,C9 VS EG,April 15th 2024
yetujey,1.19,KC VS FUT,April 10th 2024
Karon,1.19,GEN VS TLN,April 9th 2024
nAts,1.19,KOI VS TL,April 3rd 2024
johnqt,1.19,SEN VS 100T,April 7th 2024
sScary,1.18,BLD VS TLN,April 7th 2024
Lakia,1.18,GEN VS TLN,April 9th 2024
yetujey,1.17,TL VS FUT,April 5th 2024
Boo,1.17,FNC VS TH,April 4th 2024
MAGNUM,1.17,KC VS M8,April 12th 2024
Jinggg,1.17,T1 VS PRX,April 7th 2024
cNed,1.17,TL VS FUT,April 5th 2024
reazy,1.17,BBL VS TH,April 18th 2024
Alfajer,1.17,FNC VS KOI,April 19th 2024
Sayaplayer,1.16,T1 VS RRQ,April 16th 2024
SUYGETSU,1.16,VIT VS NAVI,April 4th 2024
purp0,1.16,FNC VS GX,April 12th 2024
BORKUM,1.16,TS VS RRQ,April 8th 2024
SugarZ3ro,1.16,BLD VS ZETA,April 16th 2024
Elite,1.15,BBL VS M8,April 5th 2024
Sayf,1.15,VIT VS FUT,April 18th 2024
BuZz,1.14,GE VS DRX,April 8th 2024
kiNgg,1.14,C9 VS LEV,April 6th 2024
Jemkin,1.14,TS VS RRQ,April 8th 2024
Brave,1.14,BBL VS TH,April 18th 2024
Kicks,1.14,VIT VS TH,April 10th 2024
kiNgg,1.14,SEN VS LEV,April 13th 2024
heat,1.14,KRU VS MIBR,April 14th 2024
Rossy,1.13,T1 VS DFM,April 9th 2024
yuran,1.13,GE VS ZETA,April 6th 2024
SugarZ3ro,1.13,GE VS ZETA,April 6th 2024
NaturE,1.13,G2 VS EG,April 7th 2024
f0rsakeN,1.13,GEN VS PRX,April 13th 2024
Foxy9,1.13,TS VS DRX,April 6th 2024
ANGE1,1.13,VIT VS NAVI,April 4th 2024
d4v41,1.12,T1 VS PRX,April 7th 2024
invy,1.12,TS VS DRX,April 6th 2024
Dep,1.12,TS VS ZETA,April 14th 2024
Lakia,1.12,GEN VS DFM,April 15th 2024
MrFaliN,1.12,KC VS FUT,April 10th 2024
Shyy,1.12,KRU VS FUR,April 8th 2024
invy,1.11,TS VS ZETA,April 14th 2024
lenne,1.11,GEN VS TLN,April 9th 2024
BeYN,1.11,GE VS DRX,April 8th 2024
Governor,1.11,GE VS TLN,April 15th 2024
Enzo,1.11,TL VS GX,April 19th 2024
Cryocells,1.1,SEN VS 100T,April 7th 2024
runi,1.1,C9 VS LEV,April 6th 2024
cNed,1.1,VIT VS FUT,April 18th 2024
grubinho,1.1,FNC VS KOI,April 19th 2024
Russ,1.1,GE VS DRX,April 8th 2024
MiniBoo,1.1,FNC VS TH,April 4th 2024
qRaxs,1.1,KC VS FUT,April 10th 2024
something,1.1,T1 VS PRX,April 7th 2024
marteen,1.09,KC VS M8,April 12th 2024
Keiko,1.09,TL VS GX,April 19th 2024
BeYN,1.09,T1 VS DRX,April 13th 2024
moose,1.09,C9 VS EG,April 15th 2024
Carpe,1.09,T1 VS DFM,April 9th 2024
SUYGETSU,1.09,KC VS NAVI,April 17th 2024
Xeppaa,1.09,C9 VS EG,April 15th 2024
Meiy,1.09,GEN VS DFM,April 15th 2024
Zyppan,1.09,TL VS NAVI,April 11th 2024
trent,1.08,G2 VS 100T,April 13th 2024
Munchkin,1.08,GEN VS TLN,April 9th 2024
Cloud,1.08,KC VS GX,April 3rd 2024
Leo,1.08,FNC VS TH,April 4th 2024
TakaS,1.08,BBL VS M8,April 5th 2024
Surf,1.08,BLD VS TLN,April 7th 2024
invy,1.08,TS VS RRQ,April 8th 2024
MAGNUM,1.08,KC VS GX,April 3rd 2024
ban,1.08,GEN VS TLN,April 9th 2024
nzr,1.07,NRG VS FUR,April 14th 2024
