Name,HS Rate,MatchTeams,Date
Lakia,0.26,GEN VS TLN,April 9th 2024
marteen,0.26,KC VS FUT,April 10th 2024
Meiy,0.26,GEN VS DFM,April 15th 2024
MaKo,0.26,GE VS DRX,April 8th 2024
t3xture,0.26,GEN VS DFM,April 15th 2024
MAGNUM,0.26,KC VS M8,April 12th 2024
JessieVash,0.26,TS VS DRX,April 6th 2024
Asuna,0.26,SEN VS 100T,April 7th 2024
Leo,0.26,M8 VS FNC,April 17th 2024
Leo,0.26,FNC VS GX,April 12th 2024
d4v41,0.26,GEN VS PRX,April 13th 2024
Crws,0.26,GE VS TLN,April 15th 2024
Sayaplayer,0.26,T1 VS DRX,April 13th 2024
Shyy,0.26,KRU VS FUR,April 8th 2024
BeYN,0.26,T1 VS DRX,April 13th 2024
ceNder,0.26,VIT VS FUT,April 18th 2024
Carpe,0.26,T1 VS PRX,April 7th 2024
BORKUM,0.26,TS VS DRX,April 6th 2024
nataNk,0.26,M8 VS FNC,April 17th 2024
Apoth,0.26,G2 VS EG,April 7th 2024
TenZ,0.26,SEN VS LEV,April 13th 2024
nAts,0.25,TL VS GX,April 19th 2024
yuran,0.25,BLD VS ZETA,April 16th 2024
sh1n,0.25,KC VS M8,April 12th 2024
yetujey,0.25,TL VS FUT,April 5th 2024
Chronicle,0.25,FNC VS GX,April 12th 2024
Boostio,0.25,G2 VS 100T,April 13th 2024
TenZ,0.25,SEN VS 100T,April 7th 2024
Alfajer,0.25,M8 VS FNC,April 17th 2024
Zyppan,0.25,KC VS NAVI,April 17th 2024
Munchkin,0.25,GEN VS PRX,April 13th 2024
qRaxs,0.25,VIT VS FUT,April 18th 2024
ardiis,0.25,KC VS NAVI,April 17th 2024
kon4n,0.24,NRG VS FUR,April 14th 2024
Leo,0.24,FNC VS TH,April 4th 2024
Estrella,0.24,BLD VS RRQ,April 14th 2024
JonahP,0.24,G2 VS EG,April 7th 2024
Klaus,0.24,KRU VS MIBR,April 14th 2024
Crws,0.24,GEN VS TLN,April 9th 2024
hoody,0.24,TL VS GX,April 19th 2024
Victor,0.24,NRG VS FUR,April 14th 2024
nzr,0.24,NRG VS FUR,April 14th 2024
trexx,0.24,VIT VS NAVI,April 4th 2024
paTiTek,0.24,BBL VS TH,April 18th 2024
Zyppan,0.24,VIT VS NAVI,April 4th 2024
Foxy9,0.24,T1 VS DRX,April 13th 2024
N4RRATE,0.24,KC VS GX,April 3rd 2024
reazy,0.24,BBL VS KOI,April 11th 2024
Cryocells,0.24,G2 VS 100T,April 13th 2024
Lakia,0.24,GEN VS DFM,April 15th 2024
beyAz,0.24,M8 VS FNC,April 17th 2024
sScary,0.24,BLD VS RRQ,April 14th 2024
Jremy,0.24,TS VS RRQ,April 8th 2024
Carpe,0.24,T1 VS DFM,April 9th 2024
Dep,0.24,BLD VS ZETA,April 16th 2024
Meiy,0.24,T1 VS DFM,April 9th 2024
Jinggg,0.24,GEN VS PRX,April 13th 2024
xccurate,0.24,T1 VS RRQ,April 16th 2024
sheydos,0.23,BBL VS KOI,April 11th 2024
MAGNUM,0.23,KC VS GX,April 3rd 2024
TakaS,0.23,M8 VS FNC,April 17th 2024
hoody,0.23,KC VS GX,April 3rd 2024
Governor,0.23,GEN VS TLN,April 9th 2024
Governor,0.23,BLD VS TLN,April 7th 2024
Retla,0.23,BLD VS TLN,April 7th 2024
Crws,0.23,BLD VS TLN,April 7th 2024
neth,0.23,GEN VS DFM,April 15th 2024
Boaster,0.23,M8 VS FNC,April 17th 2024
Chronicle,0.23,FNC VS KOI,April 19th 2024
Estrella,0.23,T1 VS RRQ,April 16th 2024
MrFaliN,0.23,KC VS FUT,April 10th 2024
Cloud,0.23,FNC VS GX,April 12th 2024
JessieVash,0.23,TS VS RRQ,April 8th 2024
JessieVash,0.23,TS VS ZETA,April 14th 2024
saadhak,0.23,NRG VS LOUD,April 6th 2024
QutionerX,0.23,BBL VS TH,April 18th 2024
Munchkin,0.23,GEN VS TLN,April 9th 2024
ardiis,0.23,VIT VS NAVI,April 4th 2024
cauanzin,0.23,NRG VS LOUD,April 6th 2024
Derke,0.22,M8 VS FNC,April 17th 2024
Enzo,0.22,TL VS FUT,April 5th 2024
Laz,0.22,TS VS ZETA,April 14th 2024
Benkai,0.22,GE VS TLN,April 15th 2024
Laz,0.22,BLD VS ZETA,April 16th 2024
NDG,0.22,TS VS RRQ,April 8th 2024
kon4n,0.22,KRU VS FUR,April 8th 2024
C0M,0.22,SEN VS LEV,April 13th 2024
t3xture,0.22,GEN VS TLN,April 9th 2024
Rossy,0.22,T1 VS DRX,April 13th 2024
purp0,0.22,KC VS GX,April 3rd 2024
Benkai,0.22,GE VS DRX,April 8th 2024
jawgemo,0.21,G2 VS EG,April 7th 2024
QutionerX,0.21,BBL VS KOI,April 11th 2024
iZu,0.21,T1 VS PRX,April 7th 2024
Polvi,0.21,GE VS TLN,April 15th 2024
MAGNUM,0.21,KC VS NAVI,April 17th 2024
BORKUM,0.21,TS VS ZETA,April 14th 2024
Estrella,0.21,TS VS RRQ,April 8th 2024
icy,0.21,G2 VS EG,April 7th 2024
RgLMeister,0.21,KRU VS MIBR,April 14th 2024
sh1n,0.21,KC VS FUT,April 10th 2024
Sayf,0.21,VIT VS TH,April 10th 2024
Enzo,0.21,TL VS GX,April 19th 2024
NDG,0.21,TS VS DRX,April 6th 2024
beyAz,0.21,BBL VS M8,April 5th 2024
Meteor,0.21,GEN VS TLN,April 9th 2024
frz,0.21,KRU VS MIBR,April 14th 2024
pAura,0.21,BBL VS KOI,April 11th 2024
BuZz,0.2,GE VS DRX,April 8th 2024
beyAz,0.2,KC VS M8,April 12th 2024
xffero,0.2,T1 VS RRQ,April 16th 2024
cNed,0.2,VIT VS FUT,April 18th 2024
Wailers,0.2,M8 VS FNC,April 17th 2024
Asuna,0.2,G2 VS 100T,April 13th 2024
paTiTek,0.2,FNC VS TH,April 4th 2024
Kicks,0.19,VIT VS TH,April 10th 2024
MiniBoo,0.19,BBL VS TH,April 18th 2024
icy,0.19,G2 VS 100T,April 13th 2024
stax,0.19,GE VS DRX,April 8th 2024
TakaS,0.19,BBL VS M8,April 5th 2024
sScary,0.19,BLD VS ZETA,April 16th 2024
AtaKaptan,0.19,VIT VS FUT,April 18th 2024
trexx,0.19,VIT VS TH,April 10th 2024
Foxy9,0.18,TS VS DRX,April 6th 2024
fl1pzjder,0.18,T1 VS RRQ,April 16th 2024
BuZz,0.18,TS VS DRX,April 6th 2024
