Name,Assists,MatchTeams,Date
paTiTek,16,FNC VS TH,April 4th 2024
kon4n,16,KRU VS FUR,April 8th 2024
Russ,16,GE VS TLN,April 15th 2024
something,16,GEN VS PRX,April 13th 2024
N4RRATE,16,KC VS NAVI,April 17th 2024
yay,16,BLD VS ZETA,April 16th 2024
Estrella,16,T1 VS RRQ,April 16th 2024
MAGNUM,16,KC VS FUT,April 10th 2024
Chronicle,16,FNC VS GX,April 12th 2024
C0M,16,C9 VS LEV,April 6th 2024
Mazino,16,C9 VS LEV,April 6th 2024
Lightningfast,16,GE VS DRX,April 8th 2024
Deryeon,16,BLD VS RRQ,April 14th 2024
Ethan,16,NRG VS FUR,April 14th 2024
Karon,16,GEN VS TLN,April 9th 2024
Leo,16,M8 VS FNC,April 17th 2024
Enzo,15,TL VS NAVI,April 11th 2024
N4RRATE,15,KC VS GX,April 3rd 2024
Ethan,15,NRG VS LOUD,April 6th 2024
aspas,15,C9 VS LEV,April 6th 2024
runneR,15,VIT VS FUT,April 18th 2024
Retla,15,BLD VS TLN,April 7th 2024
Laz,15,TS VS ZETA,April 14th 2024
Meiy,15,T1 VS DFM,April 9th 2024
crashies,15,NRG VS FUR,April 14th 2024
MrFaliN,15,VIT VS FUT,April 18th 2024
tomaszy,15,KC VS M8,April 12th 2024
fl1pzjder,15,TS VS RRQ,April 8th 2024
Rossy,15,T1 VS PRX,April 7th 2024
blaZek1ng,14,GE VS TLN,April 15th 2024
Fit1nho,14,KC VS GX,April 3rd 2024
Klaus,14,KRU VS FUR,April 8th 2024
Chronicle,14,FNC VS TH,April 4th 2024
Khalil,14,KRU VS FUR,April 8th 2024
marteen,14,KC VS NAVI,April 17th 2024
kiNgg,14,SEN VS LEV,April 13th 2024
ShadoW,14,KOI VS TL,April 3rd 2024
Shyy,14,KRU VS FUR,April 8th 2024
Fit1nho,14,FNC VS GX,April 12th 2024
Brave,14,BBL VS KOI,April 11th 2024
paTiTek,14,BBL VS TH,April 18th 2024
Crws,14,GE VS TLN,April 15th 2024
BeYN,14,GE VS DRX,April 8th 2024
Wailers,14,BBL VS M8,April 5th 2024
invy,14,TS VS DRX,April 6th 2024
Enzo,14,TL VS FUT,April 5th 2024
Boo,14,FNC VS TH,April 4th 2024
AtaKaptan,14,TL VS FUT,April 5th 2024
ANGE1,14,KC VS NAVI,April 17th 2024
Polvi,14,GE VS TLN,April 15th 2024
Retla,14,BLD VS ZETA,April 16th 2024
NaturE,14,G2 VS EG,April 7th 2024
Marved,14,NRG VS FUR,April 14th 2024
MrFaliN,14,TL VS FUT,April 5th 2024
Munchkin,14,GEN VS TLN,April 9th 2024
Medusa,13,T1 VS DFM,April 9th 2024
Zyppan,13,KC VS NAVI,April 17th 2024
Mistic,13,KOI VS TL,April 3rd 2024
heat,13,KRU VS MIBR,April 14th 2024
nAts,13,TL VS NAVI,April 11th 2024
OXY,13,C9 VS EG,April 15th 2024
Redgar,13,FNC VS GX,April 12th 2024
Jinggg,13,GEN VS PRX,April 13th 2024
Medusa,13,GEN VS DFM,April 15th 2024
Sayf,13,VIT VS TH,April 10th 2024
MiniBoo,13,FNC VS TH,April 4th 2024
Deryeon,13,BLD VS TLN,April 7th 2024
iZu,13,T1 VS DRX,April 13th 2024
kon4n,13,NRG VS FUR,April 14th 2024
qRaxs,13,TL VS FUT,April 5th 2024
Rossy,13,T1 VS DRX,April 13th 2024
Russ,13,GE VS DRX,April 8th 2024
Leo,13,FNC VS TH,April 4th 2024
Keiko,13,TL VS NAVI,April 11th 2024
starxo,13,KOI VS TL,April 3rd 2024
grubinho,13,KOI VS TL,April 3rd 2024
moose,13,C9 VS EG,April 15th 2024
Dep,12,TS VS ZETA,April 14th 2024
tomaszy,12,KC VS FUT,April 10th 2024
ban,12,GE VS TLN,April 15th 2024
blaZek1ng,12,GE VS ZETA,April 6th 2024
xccurate,12,T1 VS DRX,April 13th 2024
Alfajer,12,FNC VS GX,April 12th 2024
Boostio,12,SEN VS 100T,April 7th 2024
hoody,12,KC VS GX,April 3rd 2024
Zellsis,12,SEN VS 100T,April 7th 2024
Carpe,12,T1 VS RRQ,April 16th 2024
yetujey,12,VIT VS FUT,April 18th 2024
Leo,12,FNC VS KOI,April 19th 2024
Chronicle,12,FNC VS KOI,April 19th 2024
Apoth,12,C9 VS EG,April 15th 2024
JitBoyS,12,GEN VS TLN,April 9th 2024
sh1n,12,KC VS M8,April 12th 2024
Redgar,12,KC VS GX,April 3rd 2024
nataNk,12,BBL VS M8,April 5th 2024
RgLMeister,12,KRU VS MIBR,April 14th 2024
SUYGETSU,12,TL VS NAVI,April 11th 2024
Surf,12,BLD VS TLN,April 7th 2024
mazin,11,KRU VS MIBR,April 14th 2024
Asuna,11,G2 VS 100T,April 13th 2024
BuZz,11,TS VS DRX,April 6th 2024
Dep,11,GE VS ZETA,April 6th 2024
Carpe,11,T1 VS PRX,April 7th 2024
keznit,11,KRU VS FUR,April 8th 2024
neth,11,T1 VS DFM,April 9th 2024
RieNs,11,BBL VS TH,April 18th 2024
Crws,11,GEN VS TLN,April 9th 2024
fl1pzjder,11,BLD VS RRQ,April 14th 2024
Laz,11,GE VS ZETA,April 6th 2024
ceNder,11,VIT VS NAVI,April 4th 2024
reazy,11,BBL VS KOI,April 11th 2024
ban,11,GEN VS TLN,April 9th 2024
Benkai,11,GE VS ZETA,April 6th 2024
Jamppi,11,KOI VS TL,April 3rd 2024
Estrella,11,BLD VS RRQ,April 14th 2024
BORKUM,11,TS VS DRX,April 6th 2024
Jinggg,11,T1 VS PRX,April 7th 2024
Derrek,11,G2 VS EG,April 7th 2024
tuyz,11,NRG VS LOUD,April 6th 2024
Shao,11,VIT VS NAVI,April 4th 2024
stax,11,TS VS DRX,April 6th 2024
Benkai,11,GE VS TLN,April 15th 2024
Boaster,11,M8 VS FNC,April 17th 2024
Polvi,11,GE VS ZETA,April 6th 2024
icy,11,G2 VS EG,April 7th 2024
icy,11,G2 VS 100T,April 13th 2024
Less,11,NRG VS LOUD,April 6th 2024
